commodity,equity,correlation,z_score_corr,lag1,lag3,lag5,lag10,lag20
Palladium,PanAmerican,0.31756446565472096,0.29245381515479746,0.003634094261237649,0.014981640708510623,-0.013814549293269123,0.02005649293189949,-0.03330741225359894
Brent_Oil,SouthernCopper,0.3168060145538589,0.2971086897902509,-0.038242854592930815,0.06770117935238404,0.002589173235832158,0.05163113424811697,0.003862782663225758
Silver,SouthernCopper,0.3146348118737592,0.31031649372964,2.205238881734839e-05,0.0028054067711154587,-0.002136633201878298,-0.016586041895013323,-0.013629560998100409
Palladium,BHP,0.31388904268727763,0.3143093537644366,0.017427804161523633,-0.030635346348128645,-1.728387357220532e-05,0.013180462582132763,0.0032168963189011615
Gasoline,RioTinto,0.31239890712511675,0.2886959813095829,-0.07435437533189161,-0.02098738713431484,-0.023727377492685546,-0.02479399853837745,-0.03161415426323993
Palladium,Freeport,0.31156058130073117,0.30669885077936915,0.03394444956361017,-0.014963734813403917,0.006621379975387864,0.01609117733951939,-0.0056263676414547315
Silver,BHP,0.3111367661967616,0.3035609150191489,-0.0027554915579297286,-0.016639263949458343,-0.0022476872493724033,-0.0021437697819918417,-0.023552190438301757
Aluminum,RioTinto,0.3109348161946311,0.2983572874130948,-0.004972976111356194,0.016834382141012433,-0.01045709650735617,-0.0020559876459744658,-0.019072556254416995
Palladium,Hecla,0.30809450685508455,0.29137451702880396,-0.01477149014677812,-8.773505618520604e-06,-0.03885990067599259,0.016324229694182037,-0.031223623077533107
Silver,Freeport,0.30543945646895754,0.2950629019051383,0.02114655335918471,-0.02422092356221922,-0.027959618885868898,-0.0029480493514136698,-0.0032602594179789494
Palladium,SPDR_Gold_ETF,0.3031843842436407,0.29105682654071424,0.008064983586278766,0.03302054788288998,-0.026528970247875067,-0.026749292745118947,-0.03583453764770319
Palladium,Fortuna,0.30200021037704317,0.28296842982965,-0.03357607978572074,-0.007057671267628172,-0.04765713304946216,0.011836667413186905,-0.021427533803959873
Palladium,MAGSilver,0.30103800710390577,0.27992855815637185,-0.02035726043655015,-0.021578511791950375,-0.04964516170689139,0.008794612200891857,0.001407019522586705
Copper,Hecla,0.30095094716838866,0.2892116416905034,-0.014528959271272728,0.009282616339142421,-0.02219029009568476,0.006220273059092595,-0.007878613758224934
Aluminum,BHP,0.29906246648549895,0.2848501311383857,-6.513563075602812e-05,0.0025777996918849395,0.005444244954203036,-0.005522817885809006,-0.02179820761442406
Palladium,Endeavour,0.29892287485986124,0.2832168183395778,-0.018196009904089545,0.002621705831222555,-0.02474394935020594,-0.0007106647874039807,-0.022360950603063017
Palladium,RioTinto,0.2968406705891669,0.2959938686248179,0.017301967952447223,-0.02105679613739465,-0.0005176611327382603,-0.007176849683636873,0.009119692121776005
Palladium,Wheaton,0.2966362100475126,0.287174251607214,0.0064459849058887825,0.0022786676360901444,0.004204578676330509,-0.0002530317892577619,-0.027398266669661456
Silver,RioTinto,0.2947506742963648,0.2859382533099356,0.019113126265397566,0.0014697559404667907,0.0025921961574485765,-0.022976024227716805,-0.007139127479206342
Aluminum,Freeport,0.29469305323339906,0.28399959382488543,-0.02964769262796478,0.0018383295011622839,-0.005757786275285629,-0.014402002212123906,-0.007397068364040202
WTI_Oil,Valero,0.2928535225680448,0.3148792420850799,-0.018240001583192382,0.10259300741233401,-0.006363478162153738,0.04086633990353904,-0.01211477098460938
Copper,Chevron,0.29232894873269216,0.28356371608588504,0.021847340344959446,-0.011651016837877769,-0.01900281136359756,-0.025263725385513844,0.005112977954961854
Copper,ConocoPhillips,0.29066718159068305,0.28712418365263026,0.0020829439954326914,-0.023624343118913396,-0.03153017217886706,-0.035229683210296424,0.01720226740445275
WTI_Oil,SouthernCopper,0.29040839241433813,0.3039525535071238,-0.039038938344208726,0.09493421396099823,0.004249444397311906,0.05517879896873427,-0.0033622962666203103
Copper,Schlumberger,0.2903622383890075,0.28432052810171066,0.027803101770856434,0.013873103960034118,-0.022752597164893706,-0.03600461771718688,0.0031768084448469064
Palladium,Coeur,0.28793840827695677,0.2747221395345546,-0.021661007442983434,-0.023659745126887698,-0.041082619042619554,0.041096796128905,-0.02733457335518722
Palladium,Agnico,0.2817865717472599,0.27112354872255406,-0.030819401366497096,0.03827929100664322,-0.009628346458167904,0.016236526278814348,-0.03179226030386448
